楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
雷苑小区,暂无,江岸/百步亭,未知年建成,无地铁
西马路11到13号,暂无,江岸/台北香港路,未知年建成,近地铁1号线大智路站
尚都一品尚邸,暂无,江岸/塔子湖,2013年建成,无地铁
空间贵族,暂无,江岸/前进江汉,2006年建成,近地铁2号线江汉路站
三眼桥路134到140号,暂无,江岸/育才花桥,1998年建成,近地铁3号线香港路站
马祖路9到13号,暂无,江岸/台北香港路,1998年建成,近地铁6号线苗栗路站
三眼桥四村3号,暂无,江岸/育才花桥,未知年建成,无地铁
空中花园,暂无,江岸/大智路,未知年建成,无地铁
苗栗路107号至111号,暂无,江岸/台北香港路,未知年建成,无地铁
光华路4号,暂无,江岸/黄埔永清,未知年建成,无地铁
花蕙社区,暂无,江岸/黄埔永清,未知年建成,无地铁
张自忠小路5号,暂无,江岸/黄埔永清,未知年建成,无地铁
马祖路89号,暂无,江岸/台北香港路,未知年建成,无地铁
瑞祥楼,暂无,江岸/三阳路,未知年建成,无地铁
力腾乐荟,暂无,江岸/二七,未知年建成,无地铁
塔子湖锦绣家园馨竹苑,暂无,江岸/塔子湖,未知年建成,无地铁
惠康居,暂无,江岸/百步亭,未知年建成,无地铁
新五冷小区,暂无,江岸/后湖,未知年建成,无地铁
仁恒公园世纪,暂无,江岸/塔子湖,未知年建成,无地铁
中信泰富滨江金融城,暂无,江岸/二七,未知年建成,无地铁
汉口花园清桐阁,20645,江岸/塔子湖,2008年建成,近地铁6号线石桥站
新地东方花都A区,16496,江岸/后湖,1995年建成,近地铁8号线中一路站
天上人间,15544,江岸/后湖,2002年建成,近地铁3号线兴业路站
银泰御华园一期,21822,江岸/百步亭,2013年建成,近地铁3号线兴业路站
同鑫花园,18721,江岸/后湖,2007年建成,近地铁3号线后湖大道站
七星香山花园,17125,江岸/后湖,2006年建成,近地铁阳逻线后湖大道站
后湖生态花园荷花苑,13060,江岸/后湖,1999年建成,近地铁8号线中一路站
海安公寓,15869,江岸/后湖,1990年建成,近地铁8号线竹叶山站
盛景花园,暂无,江岸/后湖,2011年建成,无地铁
武华苑,16770,江岸/后湖,2002年建成,近地铁8号线竹叶山站
百步华庭,18962,江岸/百步亭,2006年建成,近地铁阳逻线百步亭花园路站
百合苑,17094,江岸/百步亭,2003年建成,近地铁阳逻线百步亭花园路站
惠民居,暂无,江岸/百步亭,未知年建成,近地铁阳逻线百步亭花园路站
怡和苑北区,18958,江岸/百步亭,2004年建成,近地铁3号线兴业路站
竹叶苑,14487,江岸/后湖,2006年建成,近地铁3号线兴业路站
同鑫花园景福苑,18030,江岸/后湖,2006年建成,近地铁阳逻线后湖大道站
华森佳园,暂无,江岸/百步亭,未知年建成,近地铁1号线新荣站
现代城三区,21328,江岸/百步亭,2013年建成,近地铁1号线丹水池站
秀泽园南区,17007,江岸/百步亭,2004年建成,近地铁阳逻线新荣客运站站
景兰苑,17309,江岸/百步亭,2008年建成,近地铁阳逻线百步亭花园路站
百步亭花园世博园,24544,江岸/百步亭,2005年建成,近地铁阳逻线百步亭花园路站
惠济社区,20216,江岸/育才花桥,1990年建成,近地铁3号线惠济二路站
协昌花园,16262,江岸/育才花桥,2001年建成,近地铁8号线竹叶山站
金色华府,33906,江岸/育才花桥,2006年建成,近地铁3号线香港路站
永成大厦,20967,江岸/育才花桥,1998年建成,近地铁3号线惠济二路站
望才里,15337,江岸/唐家墩,1993年建成,近地铁8号线竹叶山站
花桥黄浦社区,16100,江岸/育才花桥,1998年建成,近地铁8号线赵家条站
育才一村,19777,江岸/育才花桥,1995年建成,近地铁3号线惠济二路站
新大地花园,19208,江岸/二七,1999年建成,近地铁3号线二七小路站
王府花园,31330,江岸/育才花桥,2005年建成,近地铁3号线香港路站
宝岛公寓,18505,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
建银小区,17114,江岸/台北香港路,1995年建成,近地铁3号线香港路站
惠西小区,19391,江岸/台北香港路,1995年建成,近地铁3号线香港路站
莹湖公寓,暂无,江岸/台北香港路,1998年建成,近地铁1号线利济北路站
台北一路,18427,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
招银苑,17947,江岸/台北香港路,2002年建成,近地铁6号线苗栗路站
中奇香港花园,24309,江岸/台北香港路,2006年建成,近地铁6号线苗栗路站
周家墩,暂无,江岸/台北香港路,1992年建成,近地铁6号线苗栗路站
汉口花园幽兰居,19197,江岸/塔子湖,2010年建成,近地铁6号线杨汊湖站
黄浦花园,17553,江岸/黄埔永清,1999年建成,近地铁8号线赵家条站
建设新村,18662,江岸/百步亭,1988年建成,无地铁
军供小区,16057,江岸/黄埔永清,2003年建成,近地铁8号线赵家条站
宝岛公寓,18505,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
建银小区,17114,江岸/台北香港路,1995年建成,近地铁3号线香港路站
航天双城,28870,江岸/二七,2009年建成,近地铁1号线二七路站
长航村小区,暂无,江岸/台北香港路,1992年建成,近地铁6号线苗栗路站
华清园,35164,江岸/三阳路,2005年建成,近地铁1号线三阳路站
高雄路107号,17110,江岸/台北香港路,1998年建成,近地铁3号线香港路站
开源阳光城,21137,江岸/台北香港路,2003年建成,近地铁6号线苗栗路站
丹西社区,暂无,江岸/百步亭,未知年建成,近地铁1号线丹水池站
E品国际,19945,江岸/三阳路,2008年建成,近地铁1号线大智路站
六合路,24245,江岸/三阳路,1998年建成,近地铁1号线三阳路站
六合新界,37993,江岸/三阳路,2006年建成,近地铁1号线三阳路站
洞庭街123号,24605,江岸/三阳路,2004年建成,近地铁1号线大智路站
新长江国际,30375,江岸/三阳路,2009年建成,近地铁1号线三阳路站
阳春阁社区,20053,江岸/三阳路,1998年建成,近地铁1号线三阳路站
楚乐戏苑,19637,江岸/黄埔永清,1999年建成,近地铁8号线黄浦路站
标达花园,18008,江岸/大智路,2000年建成,近地铁1号线大智路站
大智路,暂无,江岸/大智路,2011年建成,近地铁1号线大智路站
日月星城,19978,江岸/塔子湖,2006年建成,近地铁8号线中一路站
惠济路41号,22649,江岸/黄埔永清,1998年建成,近地铁3号线惠济二路站
惠中社区,22010,江岸/黄埔永清,1996年建成,近地铁3号线惠济二路站
永清路31号,22034,江岸/黄埔永清,1993年建成,近地铁8号线赵家条站
利源公寓,19957,江岸/台北香港路,1999年建成,无地铁
台北路95到101号,暂无,江岸/台北香港路,2001年建成,无地铁
艺树家,25639,江岸/台北香港路,2003年建成,无地铁
云林街,18179,江岸/台北香港路,1995年建成,近地铁3号线菱角湖站
江汉北路10号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
解放大道1417到1423号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
艺树家,25639,江岸/台北香港路,2003年建成,无地铁
云林街,18179,江岸/台北香港路,1995年建成,近地铁3号线菱角湖站
江汉北路10号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
绿缘路,18611,江岸/黄埔永清,未知年建成,近地铁1号线三阳路站
球场路16到50号,18718,江岸/台北香港路,1998年建成,近地铁6号线苗栗路站
三星阳景园,23527,江岸/台北香港路,2003年建成,近地铁1号线三阳路站
安静社区红艳村,19127,江岸/前进江汉,2007年建成,近地铁1号线循礼门站
昌盛小区,16977,江岸/二七,1997年建成,近地铁3号线二七小路站
解放大道1417到1423号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
模范三村,暂无,江岸/台北香港路,1996年建成,近地铁6号线苗栗路站
时代豪苑,31524,江岸/三阳路,2007年建成,无地铁
武汉天地一期A7,56107,江岸/黄埔永清,2011年建成,近地铁8号线黄浦路站
翰林紫园,31131,江岸/二七,2015年建成,近地铁3号线罗家庄站
台北一路客运宿舍,17875,江岸/台北香港路,1995年建成,无地铁
台北沁园,28959,江岸/台北香港路,2011年建成,近地铁6号线苗栗路站
武汉天地三期,60453,江岸/黄埔永清,2011年建成,近地铁1号线黄浦路站
武汉天地四期B13,55902,江岸/黄埔永清,2014年建成,近地铁1号线大智路站
汇悦天地,23394,江岸/塔子湖,2015年建成,近地铁3号线市民之家站
中一花园,19552,江岸/塔子湖,2001年建成,近地铁8号线中一路站
石桥花园,13051,江岸/塔子湖,2009年建成,近地铁6号线石桥站
哈楼,19919,江岸/百步亭,2016年建成,近地铁3号线兴业路站
赏荷居,19896,江岸/台北香港路,2002年建成,近地铁1号线循礼门站
胜利街276号,暂无,江岸/黄埔永清,1990年建成,近地铁3号线赵家条站
长江委长顺园,16229,江岸/百步亭,2000年建成,近地铁1号线丹水池站
港台公寓,16607,江岸/台北香港路,2003年建成,近地铁6号线苗栗路站
锦湖金利花园一期,15822,江岸/堤角,2010年建成,近地铁阳逻线幸福湾站
江汉北路建银小区,16620,江岸/台北香港路,1995年建成,近地铁1号线循礼门站
华美国际,19248,江岸/台北香港路,2005年建成,近地铁6号线苗栗路站
金岛御璟世家跃境,暂无,江岸/后湖,2016年建成,近地铁3号线赵家条站
大智商城,19092,江岸/大智路,1998年建成,近地铁1号线大智路站
枫丹白鹭,24249,江岸/黄埔永清,2003年建成,近地铁8号线黄浦路站
金灿家园,16703,江岸/台北香港路,1995年建成,近地铁1号线循礼门站
新远大花园,16107,江岸/百步亭,2004年建成,近地铁1号线丹水池站
宝岛赏湖居,18347,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
永清庭苑,32170,江岸/黄埔永清,2002年建成,近地铁3号线赵家条站
吉祥大厦,15401,江岸/大智路,未知年建成,近地铁1号线大智路站
二七新江岸生活广场,暂无,江岸/后湖,2017年建成,无地铁
IFC国际金融中心,23423,江岸/台北香港路,2014年建成,无地铁
新地东方广场,暂无,江岸/后湖,2017年建成,近地铁3号线兴业路站
邮局小区,暂无,江岸/黄埔永清,未知年建成,近地铁1号线黄浦路站
青少年宫宿舍小区,19286,江岸/台北香港路,1990年建成,近地铁1号线循礼门站
紫竹园,18625,江岸/后湖,2002年建成,近地铁8号线中一路站
惠園大公馆,24000,江岸/育才花桥,2001年建成,近地铁3号线惠济二路站
汇悦天地二期,暂无,江岸/塔子湖,2017年建成,无地铁
汉口滨江公馆,36002,江岸/黄埔永清,2004年建成,近地铁8号线黄浦路站
御景别苑,26333,江岸/黄埔永清,未知年建成,近地铁3号线惠济二路站
天伦美伦美舍,21021,江岸/后湖,2014年建成,近地铁3号线兴业路站
司法局干警公寓,23626,江岸/黄埔永清,未知年建成,近地铁3号线惠济二路站
江汉大学教工宿舍,16267,江岸/育才花桥,2000年建成,近地铁3号线惠济二路站
汉口城市广场五期,21751,江岸/后湖,2015年建成,近地铁阳逻线后湖大道站
景福小区,16844,江岸/大智路,未知年建成,近地铁1号线大智路站
平安苑,19909,江岸/台北香港路,2001年建成,近地铁3号线香港路站
南福佳苑,暂无,江岸/前进江汉,未知年建成,近地铁1号线循礼门站
香港路综合大楼,18135,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
凯旋名苑,18322,江岸/塔子湖,2009年建成,近地铁3号线市民之家站
汉黄小区,暂无,江岸/百步亭,未知年建成,无地铁
华储大厦,22106,江岸/黄埔永清,1990年建成,近地铁3号线香港路站
江岸区黄家墩,17270,江岸/黄埔永清,未知年建成,无地铁
教育宿舍,暂无,江岸/百步亭,未知年建成,无地铁
二七小路24到32号,暂无,江岸/百步亭,未知年建成,无地铁
惠济一路18号,暂无,江岸/育才花桥,未知年建成,近地铁3号线香港路站
市委宿舍,24127,江岸/黄埔永清,未知年建成,无地铁
教育宿舍,暂无,江岸/百步亭,未知年建成,无地铁
残联宿舍,暂无,江岸/唐家墩,未知年建成,无地铁
劳动街,19802,江岸/黄埔永清,未知年建成,无地铁
香港路175号,暂无,江岸/台北香港路,未知年建成,无地铁
新源大厦,27451,江岸/三阳路,2000年建成,近地铁1号线大智路站
儿童医院家属区,23558,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
二航宿舍,16831,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
地铁鑫城,暂无,江岸/黄埔永清,未知年建成,无地铁
苗栗路2号,暂无,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
后湖水务局宿舍,暂无,江岸/后湖,未知年建成,无地铁
台北路2到10号,暂无,江岸/台北香港路,1999年建成,近地铁1号线循礼门站
永清路26号,16814,江岸/黄埔永清,未知年建成,无地铁
六合社区,24601,江岸/三阳路,未知年建成,无地铁
武汉市委党校职工宿舍,暂无,江岸/育才花桥,未知年建成,近地铁6号线唐家墩站
茶麻宿舍,20613,江岸/前进江汉,未知年建成,近地铁2号线江汉路站
武汉晚报小区,24617,江岸/黄埔永清,未知年建成,近地铁3号线惠济二路站
高雄路1号,暂无,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
光大华庭,暂无,江岸/台北香港路,未知年建成,无地铁
黎黄陂路2号,暂无,江岸/三阳路,未知年建成,近地铁1号线大智路站
汉口派,暂无,江岸/百步亭,2017年建成,无地铁
塔子湖兴隆苑,暂无,江岸/塔子湖,未知年建成,无地铁
安定社区,暂无,江岸/台北香港路,2003年建成,近地铁6号线苗栗路站
友益街,暂无,江岸/三阳路,未知年建成,近地铁1号线大智路站
外滩柒号,暂无,江岸/三阳路,2020年建成,无地铁
百步亭现代城,暂无,江岸/百步亭,2012年建成,无地铁
惠济路61号,暂无,江岸/黄埔永清,未知年建成,近地铁3号线赵家条站
永清小路9号,暂无,江岸/黄埔永清,1993年建成,近地铁3号线赵家条站
公兴存巷,暂无,江岸/三阳路,未知年建成,近地铁1号线三阳路站
永清小路9号,暂无,江岸/黄埔永清,1993年建成,近地铁3号线赵家条站
公兴存巷,暂无,江岸/三阳路,未知年建成,近地铁1号线三阳路站
高新技术创业中心,暂无,江岸/台北香港路,未知年建成,近地铁3号线菱角湖站
民主一街183号,暂无,江岸/台北香港路,未知年建成,无地铁
丹水嘉苑,暂无,江岸/百步亭,未知年建成,近地铁阳逻线百步亭花园路站
中医院宿舍,暂无,江岸/台北香港路,未知年建成,无地铁
供血站宿舍,暂无,江岸/二七,未知年建成,无地铁
美联联邦生活区美联时区,暂无,江岸/塔子湖,未知年建成,近地铁6号线石桥站
老年休干所,暂无,江岸/育才花桥,未知年建成,无地铁
俱乐部小区,暂无,江岸/堤角,未知年建成,无地铁
江南社区,暂无,江岸/堤角,未知年建成,无地铁
天兴花园天盛苑,暂无,江岸/堤角,未知年建成,无地铁
枇杷园,暂无,江岸/台北香港路,未知年建成,无地铁
新成里,暂无,江岸/大智路,未知年建成,无地铁
江汉北路12号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
汉口花园怡菊院,19802,江岸/塔子湖,2008年建成,近地铁6号线石桥站
众联天美国际,19421,江岸/塔子湖,2013年建成,近地铁8号线中一路站
东方明珠,19262,江岸/后湖,2007年建成,近地铁3号线兴业路站
御景东方,12777,江岸/后湖,2007年建成,近地铁8号线中一路站
海赋江城,23781,江岸/百步亭,2013年建成,近地铁阳逻线后湖大道站
怡康苑北区,19033,江岸/百步亭,2003年建成,近地铁阳逻线后湖大道站
安居苑A区,16494,江岸/百步亭,1999年建成,近地铁阳逻线百步亭花园路站
安居苑B区,15054,江岸/百步亭,1999年建成,近地铁阳逻线百步亭花园路站
安居苑C区,15934,江岸/百步亭,1999年建成,近地铁1号线丹水池站
统建同安家园,18788,江岸/后湖,2006年建成,近地铁3号线后湖大道站
悦秀苑,17708,江岸/百步亭,2008年建成,近地铁阳逻线百步亭花园路站
长江委协昌里小区,17315,江岸/育才花桥,2001年建成,近地铁8号线竹叶山站
颐和丽晶,32966,江岸/育才花桥,2010年建成,近地铁6号线三眼桥站
高才里,18230,江岸/唐家墩,1991年建成,近地铁8号线竹叶山站
阳电里,16863,江岸/唐家墩,2003年建成,近地铁8号线竹叶山站
罗家庄社区,17872,江岸/黄埔永清,1999年建成,近地铁3号线罗家庄站
宝岛社区,19924,江岸/台北香港路,1992年建成,近地铁3号线香港路站
台北花苑,17971,江岸/台北香港路,2001年建成,近地铁6号线苗栗路站
劳动新二村,暂无,江岸/二七,1988年建成,近地铁1号线二七路站
劳动新一村,暂无,江岸/二七,1990年建成,近地铁1号线二七路站
星悦城一期,19556,江岸/塔子湖,2013年建成,近地铁6号线杨汊湖站
东立国际,27558,江岸/二七,2004年建成,近地铁1号线二七路站
二七街阳光家园,暂无,江岸/二七,未知年建成,近地铁1号线二七路站
中侨观邸,23401,江岸/台北香港路,2003年建成,无地铁
宏宇绿色新都,15743,江岸/后湖,2006年建成,近地铁阳逻线后湖大道站
大江天际,25722,江岸/育才花桥,2010年建成,近地铁3号线赵家条站
统建大江园南苑,26543,江岸/育才花桥,2005年建成,近地铁3号线赵家条站
紫荆花园,18734,江岸/台北香港路,1998年建成,近地铁6号线苗栗路站
车站街华清社区,22714,江岸/三阳路,1993年建成,近地铁1号线三阳路站
国信城,21899,江岸/台北香港路,2005年建成,近地铁6号线苗栗路站
江景大厦,25526,江岸/三阳路,2000年建成,近地铁8号线黄浦路站
融科天城三期,33502,江岸/三阳路,2012年建成,近地铁1号线三阳路站
大智公寓,19776,江岸/大智路,2002年建成,近地铁1号线大智路站
金源世界中心,20933,江岸/三阳路,2003年建成,近地铁1号线大智路站
中山大道739号,暂无,江岸/大智路,2000年建成,近地铁1号线大智路站
武铁宿舍,15611,江岸/唐家墩,未知年建成,近地铁8号线竹叶山站
惠济路53号,暂无,江岸/黄埔永清,1988年建成,近地铁3号线惠济二路站
永成精英汇,18595,江岸/黄埔永清,2006年建成,近地铁3号线赵家条站
湖边公寓,16650,江岸/台北香港路,2000年建成,无地铁
台北一路(江岸区),17465,江岸/台北香港路,1998年建成,无地铁
台北苑74号,暂无,江岸/台北香港路,2001年建成,无地铁
江汉北路2到4号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
江汉北路42号,18785,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
江汉北路68号,16600,江岸/台北香港路,1998年建成,无地铁
台北一路(江岸区),17465,江岸/台北香港路,1998年建成,无地铁
台北苑74号,暂无,江岸/台北香港路,2001年建成,无地铁
江汉北路2到4号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
江汉北路42号,18785,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
江汉北路68号,16600,江岸/台北香港路,1998年建成,无地铁
八号楼小区,20425,江岸/前进江汉,1996年建成,近地铁1号线循礼门站
保成社区,暂无,江岸/前进江汉,1998年建成,近地铁1号线循礼门站
慈德里小区,暂无,江岸/前进江汉,1991年建成,近地铁1号线循礼门站
江汉一路,10830,江岸/前进江汉,未知年建成,近地铁2号线江汉路站
新华小区,暂无,江岸/前进江汉,1995年建成,近地铁1号线循礼门站
花北小区,17922,江岸/后湖,2000年建成,近地铁8号线赵家条站
锦苑公寓,19370,江岸/后湖,2005年建成,近地铁3号线二七小路站
联合社区,18221,江岸/后湖,1996年建成,近地铁3号线罗家庄站
天梨大厦,暂无,江岸/后湖,未知年建成,近地铁3号线赵家条站
西马路138号,暂无,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
澳门路,20674,江岸/台北香港路,2009年建成,近地铁3号线香港路站
湖边坊路,暂无,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
剧院村,17557,江岸/前进江汉,1998年建成,近地铁1号线循礼门站
联合村,14598,江岸/台北香港路,1994年建成,近地铁6号线苗栗路站
渣家右路85号,暂无,江岸/台北香港路,1996年建成,近地铁1号线循礼门站
渣家左路,18735,江岸/台北香港路,1985年建成,近地铁1号线循礼门站
光荣村,18011,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
模范二村,23500,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
武汉天地云廷五期,72932,江岸/黄埔永清,2016年建成,近地铁1号线黄浦路站
天下国际公馆,21199,江岸/台北香港路,2007年建成,无地铁
富强天合园,18785,江岸/塔子湖,2014年建成,近地铁8号线中一路站
晋合金桥世家,27940,江岸/后湖,2012年建成,近地铁3号线市民之家站
绿地汉口中心,18608,江岸/塔子湖,2017年建成,近地铁3号线市民之家站
富强天合熙园,17690,江岸/塔子湖,2016年建成,近地铁8号线中一路站
汉口城市广场SOHO,18836,江岸/后湖,2013年建成,近地铁3号线后湖大道站
新世界梦湖香郡三期,21362,江岸/塔子湖,2013年建成,近地铁8号线塔子湖站
志诚大厦,18769,江岸/台北香港路,2005年建成,近地铁1号线循礼门站
锦湖金利花园二期,17112,江岸/堤角,2010年建成,近地铁阳逻线幸福湾站
环亚大厦,16919,江岸/台北香港路,2003年建成,近地铁2号线王家墩东站
城中坊,26409,江岸/台北香港路,2005年建成,近地铁6号线苗栗路站
世纪大厦,22566,江岸/前进江汉,2000年建成,近地铁1号线循礼门站
海虹锦都,21071,江岸/育才花桥,2008年建成,近地铁6号线三眼桥站
星悦城华廷,17340,江岸/塔子湖,2013年建成,近地铁6号线杨汊湖站
武汉数码港,16354,江岸/大智路,2001年建成,近地铁1号线大智路站
美联联邦生活区二期城仕,22071,江岸/塔子湖,2017年建成,无地铁
名流世家,18240,江岸/百步亭,2017年建成,近地铁阳逻线百步亭花园路站
富豪公寓,15457,江岸/黄埔永清,未知年建成,近地铁1号线头道街站
曲艺综合楼,暂无,江岸/三阳路,未知年建成,近地铁1号线大智路站
丹水国际,17879,江岸/百步亭,2016年建成,近地铁1号线新荣站
未来家园,33538,江岸/三阳路,未知年建成,近地铁1号线黄浦路站
聚诚竹苑,17792,江岸/唐家墩,2012年建成,近地铁6号线唐家墩站
解放公园路47号,暂无,江岸/黄埔永清,1998年建成,无地铁
武汉天地盛荟,56126,江岸/黄埔永清,未知年建成,无地铁
百胜家想时代,18029,江岸/唐家墩,2004年建成,近地铁8号线竹叶山站
颐园公寓,17072,江岸/台北香港路,1999年建成,无地铁
吉祥谷,19424,江岸/后湖,2005年建成,近地铁3号线市民之家站
花惠社区,21254,江岸/黄埔永清,未知年建成,近地铁3号线香港路站
惠东花园,17693,江岸/台北香港路,未知年建成,近地铁3号线香港路站
长航宿舍,28622,江岸/黄埔永清,未知年建成,无地铁
金岛金桥壹号,19540,江岸/后湖,2015年建成,近地铁8号线中一路站
华侨苑,23131,江岸/育才花桥,2003年建成,近地铁3号线惠济二路站
翠涛苑,暂无,江岸/黄埔永清,未知年建成,无地铁
西马路90到92号,暂无,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
天津院小区,暂无,江岸/大智路,未知年建成,近地铁2号线江汉路站
教工宿舍,15874,江岸/黄埔永清,未知年建成,近地铁3号线罗家庄站
同安大厦,12553,江岸/育才花桥,未知年建成,无地铁
鑫城大厦,暂无,江岸/前进江汉,未知年建成,近地铁2号线江汉路站
九运大厦,11752,江岸/台北香港路,未知年建成,近地铁1号线循礼门站
三阳小区,18741,江岸/台北香港路,未知年建成,无地铁
凯旋嘉苑,暂无,江岸/大智路,未知年建成,无地铁
胜利街111号,暂无,江岸/大智路,未知年建成,无地铁
跃进家园C区,暂无,江岸/塔子湖,未知年建成,无地铁
港台名邸,17546,江岸/台北香港路,未知年建成,近地铁6号线苗栗路站
保成路4号楼,17046,江岸/前进江汉,未知年建成,无地铁
粮茂宿舍,暂无,江岸/黄埔永清,未知年建成,无地铁
为群一村,暂无,江岸/二七,未知年建成,无地铁
球场村125到126号,暂无,江岸/台北香港路,未知年建成,近地铁1号线大智路站
船检宿舍,暂无,江岸/台北香港路,未知年建成,无地铁
一元路31到33号,暂无,江岸/三阳路,未知年建成,无地铁
东方花都F区,暂无,江岸/后湖,未知年建成,无地铁
丹枫苑,暂无,江岸/百步亭,2004年建成,无地铁
惠济路2号,暂无,江岸/台北香港路,未知年建成,无地铁
华润桃源里,29169,江岸/台北香港路,2019年建成,无地铁
球场路58到60号,21731,江岸/台北香港路,未知年建成,无地铁
新丽大厦,18709,江岸/大智路,未知年建成,无地铁
科技村小区,20801,江岸/后湖,未知年建成,近地铁3号线罗家庄站
长春街53号,暂无,江岸/黄埔永清,未知年建成,无地铁
科技馆宿舍,17517,江岸/后湖,未知年建成,近地铁3号线罗家庄站
文联宿舍,23360,江岸/育才花桥,未知年建成,近地铁3号线惠济二路站
银丰大厦,暂无,江岸/前进江汉,未知年建成,无地铁
西马路94号,暂无,江岸/台北香港路,未知年建成,无地铁
汉生楼,暂无,江岸/三阳路,未知年建成,近地铁1号线黄浦路站
长江明珠,暂无,江岸/堤角,未知年建成,无地铁
新三巷社区,暂无,江岸/台北香港路,未知年建成,无地铁
昌年社区,暂无,江岸/三阳路,1995年建成,近地铁1号线三阳路站
金洲花园,暂无,江岸/百步亭,未知年建成,无地铁
眼桥三村,暂无,江岸/育才花桥,未知年建成,近地铁3号线惠济二路站
黑泥湖小区,暂无,江岸/二七,未知年建成,近地铁3号线二七小路站
二七新五村,暂无,江岸/二七,1999年建成,近地铁1号线徐州新村站
解放大道2637号,暂无,江岸/百步亭,未知年建成,近地铁1号线丹水池站
中山大道1354号,暂无,江岸/三阳路,未知年建成,近地铁1号线三阳路站
二七新一村,暂无,江岸/二七,1999年建成,近地铁1号线徐州新村站
胜利街5号,暂无,江岸/前进江汉,未知年建成,无地铁
黄孝河路75号,暂无,江岸/唐家墩,未知年建成,无地铁
楼高高,暂无,江岸/台北香港路,未知年建成,近地铁1号线循礼门站
解放大道1483号,暂无,江岸/台北香港路,未知年建成,无地铁
球场街38号,暂无,江岸/三阳路,未知年建成,无地铁
洞庭里,暂无,江岸/三阳路,未知年建成,无地铁
五福社区福盛大院,暂无,江岸/三阳路,未知年建成,无地铁
信合大厦,暂无,江岸/台北香港路,未知年建成,无地铁
伟鹏万科御玺滨江,暂无,江岸/黄埔永清,未知年建成,无地铁
电科院路号院,暂无,江岸/育才花桥,未知年建成,无地铁
新地盛世东方,21684,江岸/后湖,2009年建成,近地铁3号线兴业路站
怡和苑南区,18396,江岸/百步亭,2004年建成,近地铁3号线兴业路站
宏兴苑,暂无,江岸/百步亭,2000年建成,近地铁阳逻线百步亭花园路站
万锦江城,23077,江岸/百步亭,2013年建成,近地铁阳逻线百步亭花园路站
温馨苑CD区,16059,江岸/百步亭,2001年建成,近地铁阳逻线百步亭花园路站
怡康苑南区,17653,江岸/百步亭,2003年建成,近地铁3号线兴业路站
秀泽园北区,16833,江岸/百步亭,2004年建成,近地铁阳逻线新荣客运站站
青青美庐西区,16952,江岸/后湖,2004年建成,近地铁8号线竹叶山站
温馨苑AB区,15400,江岸/百步亭,2002年建成,近地铁阳逻线百步亭花园路站
恒昌欧景华庭,暂无,江岸/二七,1997年建成,近地铁1号线头道街站
长江委刘家庙小区,18363,江岸/二七,1992年建成,近地铁3号线二七小路站
二航佳苑,17462,江岸/二七,2007年建成,近地铁1号线徐州新村站
劳动新三村,暂无,江岸/二七,1988年建成,近地铁1号线二七路站
桃园,18595,江岸/二七,2006年建成,近地铁1号线二七路站
为群二村,20257,江岸/二七,2002年建成,近地铁1号线二七路站
君安花园,17027,江岸/塔子湖,2009年建成,近地铁6号线杨汊湖站
惠济二路五号大院,17131,江岸/育才花桥,1993年建成,近地铁3号线惠济二路站
惠济公寓,暂无,江岸/育才花桥,1998年建成,近地铁3号线惠济二路站
武汉金刚石厂宿舍,暂无,江岸/育才花桥,未知年建成,近地铁3号线惠济二路站
蔡家田A区,16147,江岸/唐家墩,1992年建成,近地铁2号线汉口火车站站
天晖大厦,17469,江岸/育才花桥,2003年建成,近地铁3号线惠济二路站
花桥二村,17218,江岸/育才花桥,1993年建成,近地铁3号线惠济二路站
韦桑小路,15622,江岸/二七,1999年建成,近地铁3号线二七小路站
江岸区连城小区,17683,江岸/二七,1999年建成,近地铁1号线徐州新村站
百步亭14到18号,暂无,江岸/百步亭,未知年建成,近地铁1号线丹水池站
方舟小区,16697,江岸/百步亭,2001年建成,近地铁1号线丹水池站
德威大厦,18688,江岸/育才花桥,2003年建成,近地铁3号线赵家条站
