楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
正康社区古田公寓,15810,硚口/古田,未知年建成,无地铁
天顺园一村,14344,硚口/长丰常码头,1998年建成,无地铁
新华社区出版局宿舍,16697,硚口/古田,1996年建成,近地铁1号线古田四路站
丰华园,15078,硚口/古田,2009年建成,无地铁
韩家墩街古四社区,17597,硚口/古田,1998年建成,近地铁1号线古田四路站
居仁社区,暂无,硚口/宝丰崇仁,1996年建成,近地铁6号线武胜路站
名仕阁,19333,硚口/集贤,1998年建成,近地铁6号线武胜路站
长寿社区,19218,硚口/集贤,2000年建成,近地铁6号线武胜路站
汉江公寓,21707,硚口/宝丰崇仁,2003年建成,近地铁1号线硚口路站
黎明公寓,暂无,硚口/宗关,1999年建成,近地铁1号线太平洋站
融侨锦江,26859,硚口/宗关,2012年建成,近地铁3号线宗关站
石油庭院,14752,硚口/宝丰崇仁,2000年建成,近地铁1号线硚口路站
玉带社区,暂无,硚口/宝丰崇仁,2001年建成,近地铁1号线崇仁路站
特一号小区,18362,硚口/宝丰崇仁,2000年建成,近地铁1号线硚口路站
综合社区探矿宿舍,暂无,硚口/宗关,1992年建成,近地铁1号线汉西一路站
中心嘉园,28404,硚口/汉正街,2002年建成,近地铁1号线利济北路站
燕山社区,19132,硚口/汉正街,1996年建成,近地铁6号线汉正街站
御景名苑,26858,硚口/宝丰崇仁,2006年建成,近地铁1号线崇仁路站
天一小区,18054,硚口/汉正街,1996年建成,近地铁6号线六渡桥站
天仁社区,16318,硚口/汉正街,2011年建成,近地铁6号线六渡桥站
利济社区(汉正街),暂无,硚口/集贤,1990年建成,近地铁6号线武胜路站
利济社区(利济北路),20474,硚口/集贤,未知年建成,近地铁6号线武胜路站
顺道社区,暂无,硚口/汉正街,1991年建成,近地铁1号线利济北路站
存仁社区,暂无,硚口/集贤,1995年建成,近地铁6号线武胜路站
雅典居花园,20874,硚口/汉正街,1999年建成,近地铁6号线汉正街站
银邦大厦,19643,硚口/汉正街,2003年建成,近地铁6号线汉正街站
中电广场尊荣国际,21620,硚口/汉正街,2006年建成,近地铁6号线六渡桥站
解放大道96号,暂无,硚口/古田,未知年建成,近地铁1号线古田四路站
广电江湾新城,20233,硚口/古田,2009年建成,近地铁1号线古田三路站
西江月厦,25612,硚口/古田,2004年建成,近地铁1号线古田四路站
铁路社区,21211,硚口/集贤,1998年建成,近地铁1号线崇仁路站
中环新天地,17121,硚口/宝丰崇仁,2005年建成,近地铁1号线硚口路站
集贤公寓北苑,23042,硚口/集贤,1999年建成,近地铁1号线崇仁路站
宝丰街,20310,硚口/集贤,1995年建成,近地铁1号线崇仁路站
硚北社区,24063,硚口/宝丰崇仁,1998年建成,近地铁1号线崇仁路站
同馨花园一期,32000,硚口/宝丰崇仁,2000年建成,近地铁1号线崇仁路站
武汉城市广场,15372,硚口/宝丰崇仁,2013年建成,近地铁1号线硚口路站
暨济春天园,18173,硚口/汉正街,2007年建成,近地铁6号线汉正街站
武汉城市广场,15372,硚口/宝丰崇仁,2013年建成,近地铁1号线硚口路站
中民仁寿里,19763,硚口/宝丰崇仁,2016年建成,近地铁3号线双墩站
电业社区,暂无,硚口/宝丰崇仁,1996年建成,近地铁2号线青年路站
宝丰二路128号,暂无,硚口/宝丰崇仁,2001年建成,近地铁2号线青年路站
软件学院小区,暂无,硚口/宝丰崇仁,1996年建成,无地铁
江山如画三期,23987,硚口/集贤,2004年建成,近地铁6号线武胜路站
华鼎尚都国际,18931,硚口/宗关,2016年建成,近地铁3号线双墩站
利北社区,20293,硚口/集贤,1995年建成,近地铁1号线利济北路站
海尔国际广场,18828,硚口/古田,2017年建成,近地铁1号线古田二路站
汉正广场,暂无,硚口/汉正街,2015年建成,近地铁6号线武胜路站
既济电力商城,17876,硚口/汉正街,2007年建成,近地铁6号线汉正街站
湖北省水利厅原物资供应处宿舍,暂无,硚口/古田,1985年建成,近地铁1号线古田四路站
日月佳苑,暂无,硚口/宗关,未知年建成,近地铁3号线双墩站
后街小区,17162,硚口/宗关,未知年建成,近地铁1号线宗关站
宝丰二路56号,暂无,硚口/宝丰崇仁,未知年建成,近地铁2号线青年路站
汉中西路68号,暂无,硚口/宝丰崇仁,未知年建成,近地铁1号线硚口路站
金昌商业城,15758,硚口/汉正街,未知年建成,近地铁6号线汉正街站
同济医院职工宿舍,暂无,硚口/集贤,未知年建成,无地铁
长福小区,17955,硚口/古田,1992年建成,近地铁1号线古田四路站
泰合广场,暂无,硚口/集贤,未知年建成,近地铁1号线利济北路站
营房村休养所,暂无,硚口/宝丰崇仁,未知年建成,无地铁
华昌大厦,暂无,硚口/集贤,未知年建成,近地铁6号线武胜路站
友谊大厦,暂无,硚口/汉正街,未知年建成,无地铁
存留巷6号,暂无,硚口/宝丰崇仁,未知年建成,无地铁
古田五路11号,暂无,硚口/古田,未知年建成,无地铁
建设大道39号,暂无,硚口/宗关,未知年建成,近地铁3号线宗关站
三曙街75到77号,15288,硚口/汉正街,未知年建成,无地铁
学苑社区,18618,硚口/宝丰崇仁,2017年建成,无地铁
新世界中心,暂无,硚口/集贤,2015年建成,近地铁1号线利济北路站
宝丰二村44到47号,暂无,硚口/集贤,未知年建成,无地铁
仁民医院,9241,硚口/古田,未知年建成,无地铁
航邮社区,19652,硚口/宝丰崇仁,未知年建成,无地铁
牛奶厂宿舍,14401,硚口/古田,未知年建成,无地铁
广货巷14到18号,暂无,硚口/汉正街,未知年建成,无地铁
永利新城北苑,暂无,硚口/古田,未知年建成,无地铁
崇仁路108号,暂无,硚口/集贤,未知年建成,无地铁
大夹街35到43号,暂无,硚口/汉正街,未知年建成,无地铁
汉正街758附2号,15123,硚口/汉正街,未知年建成,近地铁6号线汉正街站
解放大道367号,暂无,硚口/宗关,未知年建成,无地铁
顺道街4.6.8号,暂无,硚口/汉正街,未知年建成,无地铁
公安社区,暂无,硚口/古田,未知年建成,无地铁
机场社区,暂无,硚口/宝丰崇仁,未知年建成,无地铁
古田侧路6号,暂无,硚口/古田,未知年建成,近地铁1号线古田四路站
汉西二路35号,暂无,硚口/古田,1993年建成,无地铁
解放大道312号,暂无,硚口/宝丰崇仁,未知年建成,近地铁1号线太平洋站
虹景公寓,暂无,硚口/宝丰崇仁,2009年建成,近地铁1号线硚口路站
联合后街114到126号,暂无,硚口/宗关,未知年建成,近地铁3号线双墩站
古田五路1到5号,暂无,硚口/古田,1998年建成,近地铁1号线汉西一路站
友谊路12号,暂无,硚口/吴家山,1999年建成,近地铁1号线舵落口站
武汉收藏品市场,暂无,硚口/集贤,未知年建成,近地铁6号线武胜路站
满春花园,暂无,硚口/汉正街,未知年建成,无地铁
